total_docks,latitude,station_name,longitude,id,docks_in_service,status,short_name,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
11,41.780506,Stony Island Ave & 63rd St,-87.586853,1754781885939323186,11,In Service,653B,POINT (-87.586853 41.780506),139.0,17,8439,42,Census Tract 8439,42,17031843900,Small area in CA 43,843900,031
9,41.938689,Rockwell St & Fletcher St,-87.692972,1594046422462976736,9,In Service,,POINT (-87.692972 41.938689),473.0,17,2109,21,Census Tract 2109,21,17031210900,,210900,031
8,41.9325593,Hampden Ct & Diversey Ave,-87.6423847,1521690221159885714,8,In Service,,POINT (-87.6423847 41.9325593),17.0,17,701.02,7,Census Tract 701.02,7,17031070102,,070102,031
6,41.94973,Cicero Ave & Grace St,-87.7469526,1563698701206292482,6,In Service,,POINT (-87.7469526 41.94973),144.0,17,8317,15,Census Tract 8317,15,17031831700,,831700,031
11,41.7655080058,Calumet Ave & 71st St,-87.616917925,a3acea44-a135-11e9-9cda-0a87ae2ba916,11,In Service,15599,POINT (-87.616917925 41.76550800581),481.0,17,6910,69,Census Tract 6910,69,17031691000,,691000,031
9,41.953038,Long & Irving Park,-87.7621632,1571105055115583496,9,In Service,,POINT (-87.7621632 41.953038),240.0,17,1507,15,Census Tract 1507,15,17031150700,,150700,031
15,41.7137098304,Calumet Park,-87.5308442116,391d5cd8-c87c-42f8-94df-823f94284005,15,In Service,20224,POINT (-87.530844211578 41.713709830356),707.0,17,5201,52,Census Tract 5201,52,17031520100,,520100,031
7,41.7896968805,Racine Ave & 57th St,-87.6546978951,a3b44eba-a135-11e9-9cda-0a87ae2ba916,7,In Service,647,POINT (-87.65469789505 41.789696880483),415.0,17,6805,68,Census Tract 6805,68,17031680500,,680500,031
15,41.771611,California Ave & Marquette Rd,-87.693331,1863877673940343638,15,In Service,21390,POINT (-87.693331 41.771611),393.0,17,6609,66,Census Tract 6609,66,17031660900,,660900,031
15,41.764484,Springfield Ave & 71st St,-87.720028,1861594737501366386,15,In Service,23137,POINT (-87.720028 41.764484),328.0,17,6504,65,Census Tract 6504,65,17031650400,,650400,031
4,41.6881169,Avenue L & 114th St,-87.5365497,1448642175142467184,4,In Service,,POINT (-87.5365497 41.6881169),614.0,17,5206,52,Census Tract 5206,52,17031520600,,520600,031
15,42.023463,Dodge Ave & Mulford St,-87.699595,a3b49b4c-a135-11e9-9cda-0a87ae2ba916,15,In Service,662,POINT (-87.699595 42.023463),,,,,810301,,,,,
15,42.004583,Sheridan Rd & Columbia Ave,-87.661406,a3b49122-a135-11e9-9cda-0a87ae2ba916,15,In Service,660,POINT (-87.661406 42.004583),48.0,17,105.02,1,Census Tract 105.02,1,17031010502,,010502,031
19,41.88592,Ashland Ave & Lake St,-87.66717,a3a59ec3-a135-11e9-9cda-0a87ae2ba916,19,In Service,13073,POINT (-87.66717 41.88592),589.0,17,2804,28,Census Tract 2804,28,17031280400,,280400,031
15,41.928887,Racine Ave & Wrightwood Ave,-87.658971,a3ab8bee-a135-11e9-9cda-0a87ae2ba916,15,In Service,TA1309000059,POINT (-87.658971 41.928887),797.0,17,705,7,Census Tract 705,7,17031070500,,070500,031
