Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
283800,7312.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,5.0,6.0,0.019998
290900,13098.0,9.530000000000001,1.0,0.0,0.0,15.0,13.0,0.0,0.0,1.0,4.0,10.0,0.036663
291200,3866.0,3.83,1.0,0.0,0.0,12.0,24.0,0.0,0.0,0.0,0.0,24.0,0.083325
291600,1396.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,17.0,0.056661
292200,5160.0,0.18,1.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,18.0,0.063327
292400,5640.0,0.0,0.0,0.0,0.0,10.0,20.0,2.0,38.0,1.0,14.0,18.0,0.05999399999999999
292500,7396.0,0.0,0.0,0.0,0.0,16.0,16.0,2.0,16.0,0.0,0.0,19.0,0.063327
300500,6428.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,6.0,9.0,0.029996999999999996
300600,8586.0,1.36,1.0,0.0,0.0,10.0,13.0,0.0,0.0,2.0,19.0,11.0,0.039996000000000004
300700,9480.0,0.49,1.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,8.0,0.029997
300800,8774.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,4.0,9.0,0.029996999999999996
300900,7964.0,0.0,0.0,1.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.05999399999999999
301100,4300.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,1.0,11.0,13.0,0.043329
301200,15357.0,1.02,1.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,9.0,5.0,0.019998
301600,6652.0,0.22,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.016665
301701,3637.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,19.0,0.063327
301702,7234.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,5.0,12.0,0.039996
